R,G,B,label
4,4,4,Blue
5,6,7,Blue
6,6,7,Blue
11,15,16,Blue
17,25,27,Blue
33,57,64,Blue
32,56,63,Blue
15,22,25,Blue
19,28,31,Blue
21,31,35,Blue
38,65,74,Blue
47,90,104,Blue
45,82,98,Blue
48,93,108,Blue
29,42,52,Blue
31,47,57,Blue
49,94,109,Blue
47,91,105,Blue
46,88,103,Blue
35,55,67,Blue
30,44,53,Blue
29,42,51,Blue
27,37,45,Blue
26,36,44,Blue
25,33,40,Blue
26,35,43,Blue
25,34,42,Blue
33,51,62,Blue
31,46,57,Blue
31,46,56,Blue
31,46,56,Blue
31,47,57,Blue
31,47,57,Blue
34,52,62,Blue
29,39,47,Blue
30,42,50,Blue
30,42,50,Blue
28,38,45,Blue
37,58,71,Blue
34,52,63,Blue
36,57,69,Blue
34,51,61,Blue
36,57,69,Blue
36,58,69,Blue
60,99,110,Blue
60,101,113,Blue
56,88,98,Blue
59,96,106,Blue
40,57,62,Blue
47,69,75,Blue
