R,G,B,label
7,6,3,Green
4,3,1,Green
7,7,4,Green
8,8,5,Green
7,8,4,Green
7,7,4,Green
9,10,5,Green
12,13,7,Green
12,12,7,Green
10,11,6,Green
7,6,3,Green
9,9,5,Green
8,8,4,Green
8,8,5,Green
9,9,5,Green
7,7,4,Green
8,8,4,Green
7,7,4,Green
8,8,4,Green
8,8,4,Green
8,7,4,Green
7,7,4,Green
7,7,4,Green
7,7,4,Green
7,6,3,Green
7,7,4,Green
7,6,3,Green
4,3,2,Green
6,6,3,Green
7,6,3,Green
6,5,3,Green
18,22,13,Green
19,23,13,Green
24,31,18,Green
26,33,19,Green
31,40,23,Green
14,16,9,Green
12,13,8,Green
33,42,25,Green
28,35,20,Green
22,27,16,Green
24,29,17,Green
30,37,22,Green
30,38,23,Green
28,35,21,Green
30,37,22,Green
29,36,21,Green
31,39,23,Green
30,37,22,Green
28,34,21,Green
