R,G,B,label
15,6,3,Orange
14,6,3,Orange
4,2,1,Orange
12,5,3,Orange
20,8,4,Orange
17,7,4,Orange
13,5,3,Orange
10,4,2,Orange
8,3,2,Orange
8,3,2,Orange
15,6,3,Orange
9,3,2,Orange
8,3,2,Orange
9,3,2,Orange
6,2,1,Orange
6,2,1,Orange
14,6,3,Orange
13,5,3,Orange
7,3,1,Orange
4,2,1,Orange
6,2,1,Orange
5,2,1,Orange
7,3,1,Orange
7,3,2,Orange
9,4,2,Orange
13,5,3,Orange
9,3,2,Orange
11,4,2,Orange
12,5,3,Orange
8,3,2,Orange
7,3,2,Orange
9,4,2,Orange
15,6,3,Orange
15,6,3,Orange
14,6,3,Orange
13,5,3,Orange
13,5,3,Orange
11,5,2,Orange
13,5,3,Orange
13,5,3,Orange
9,3,2,Orange
8,3,2,Orange
7,3,1,Orange
12,5,3,Orange
12,5,3,Orange
12,5,3,Orange
13,5,3,Orange
13,5,3,Orange
13,5,3,Orange
12,5,3,Orange
