R,G,B,label
96,53,50,Purple
107,60,56,Purple
114,64,60,Purple
114,64,59,Purple
121,68,64,Purple
111,62,58,Purple
103,57,53,Purple
13,4,5,Purple
14,4,5,Purple
46,23,22,Purple
46,23,22,Purple
156,88,83,Purple
156,88,84,Purple
156,89,84,Purple
135,74,70,Purple
130,71,67,Purple
102,54,51,Purple
87,46,43,Purple
93,49,46,Purple
144,81,77,Purple
115,62,59,Purple
91,48,45,Purple
116,63,59,Purple
59,30,29,Purple
72,38,36,Purple
76,40,38,Purple
73,38,36,Purple
79,41,39,Purple
103,54,52,Purple
119,65,61,Purple
128,70,66,Purple
158,90,85,Purple
154,87,82,Purple
147,83,78,Purple
134,74,70,Purple
163,93,89,Purple
162,90,91,Purple
173,102,99,Purple
150,78,81,Purple
156,83,85,Purple
151,78,81,Purple
167,95,95,Purple
163,91,91,Purple
172,100,98,Purple
173,102,99,Purple
173,102,100,Purple
173,101,98,Purple
166,96,91,Purple
165,95,91,Purple
107,61,58,Purple
