R,G,B,label
14,4,3,Red
14,4,3,Red
12,4,2,Red
13,4,3,Red
8,3,2,Red
16,5,3,Red
20,6,4,Red
3,1,1,Red
14,4,3,Red
7,2,1,Red
5,2,1,Red
4,2,1,Red
13,4,3,Red
14,4,3,Red
21,6,4,Red
13,4,3,Red
6,2,1,Red
12,3,2,Red
13,4,3,Red
5,2,1,Red
5,2,1,Red
7,2,1,Red
10,3,2,Red
5,2,1,Red
9,3,2,Red
7,2,1,Red
10,3,2,Red
5,2,1,Red
5,2,1,Red
5,2,1,Red
6,2,1,Red
6,2,1,Red
5,2,1,Red
5,2,1,Red
5,2,1,Red
7,2,1,Red
12,4,2,Red
11,3,2,Red
11,3,2,Red
11,4,2,Red
11,3,2,Red
11,4,2,Red
16,5,3,Red
19,6,4,Red
22,7,5,Red
22,7,4,Red
20,6,4,Red
15,4,3,Red
14,4,3,Red
16,5,3,Red
