R,G,B,label
20,12,5,Yellow
18,11,4,Yellow
17,10,4,Yellow
13,8,3,Yellow
16,10,4,Yellow
14,8,3,Yellow
15,9,4,Yellow
12,7,3,Yellow
14,9,3,Yellow
14,8,3,Yellow
14,9,3,Yellow
16,10,4,Yellow
16,9,4,Yellow
16,10,4,Yellow
11,6,2,Yellow
11,6,2,Yellow
13,8,3,Yellow
15,9,4,Yellow
16,10,4,Yellow
14,8,3,Yellow
16,10,4,Yellow
15,9,4,Yellow
15,9,4,Yellow
15,9,4,Yellow
16,10,4,Yellow
15,9,4,Yellow
15,9,4,Yellow
12,7,3,Yellow
13,8,3,Yellow
15,9,3,Yellow
17,10,4,Yellow
17,10,4,Yellow
16,10,4,Yellow
14,9,3,Yellow
13,8,3,Yellow
13,8,3,Yellow
11,6,3,Yellow
15,9,3,Yellow
15,9,3,Yellow
16,10,4,Yellow
16,10,4,Yellow
16,10,4,Yellow
16,10,4,Yellow
17,11,4,Yellow
17,11,4,Yellow
16,10,4,Yellow
17,10,4,Yellow
19,12,5,Yellow
19,11,4,Yellow
18,11,4,Yellow
